"date","transaction_id","product_id","product_name","customer_id","cost","currency","quantity"
"2021-01-22","T07686679","P6423","jehwoapje","C45254","46.70","GBP","7"
"2021-01-19","T46462172","P3081","uprocetsum","C11248","92.78","GBP","9"
"2021-01-18","T10589154","P5116","ipheubdin","C56710","04.54","GBP","0"
"2021-01-20","T32077159","P8857","anceqiok","C18392","73.24","GBP","6"
"2021-01-21","T52223954","P0864","sultucavip","C34498","86.23","GBP","8"
"2021-01-22","T91268461","P8777","roirdeksi","C62334","50.30","GBP","4"
"2021-01-19","T50299768","P8825","gojzoizsox","C24093","73.07","GBP","4"
"2021-01-19","T11072968","P1623","uweqejup","C01993","01.85","GBP","3"
"2021-01-18","T97947142","P5398","qejsonovpe","C35851","00.56","GBP","1"
"2021-01-21","T42894881","P6135","tijnusgiat","C70211","86.67","GBP","7"
"2021-01-21","T77675839","P3329","ceryuesme","C09305","28.64","GBP","5"
"2021-01-21","T84021532","P4196","gehciyvaeq","C35524","20.88","GBP","3"
"2021-01-20","T79991450","P7088","otwujefzo","C35834","64.64","GBP","6"
"2021-01-20","T20816779","P8653","ictifobdi","C52800","33.95","GBP","6"
"2021-01-19","T75272003","P2490","evnurebloz","C99141","47.25","GBP","9"
"2021-01-22","T62834756","P6764","piyafhofol","C48948","26.91","GBP","2"
"2021-01-17","T39916031","P6400","paiqxeku","C50769","56.84","GBP","4"
"2021-01-21","T00211147","P6610","kizuivfud","C01144","69.45","GBP","9"
"2021-01-20","T93916435","P7956","fafarikfo","C40917","13.93","GBP","4"
"2021-01-22","T59414804","P2695","jopvijdizgu","C26330","85.90","GBP","2"
"2021-01-17","T20331817","P8076","ercazahxat","C88018","19.90","GBP","6"
"2021-01-20","T90803327","P5947","ombihinpu","C70860","30.17","GBP","8"
"2021-01-17","T09100001","P0919","sohtoowih","C65083","94.36","GBP","2"
"2021-01-18","T12562545","P1441","ukmiorlu","C98249","70.69","GBP","3"
"2021-01-17","T87338174","P9695","kixhowiqnu","C66736","15.23","GBP","2"
